"ZIP","userCount","adultPop","userPercentage"
19146,667,33921,1.96633353969517
19119,438,22807,1.92046301574078
19109,2,0,Inf
19133,34,19191,0.177166380073993
19130,473,27402,1.72615137581198
19128,463,31814,1.45533412962847
19125,443,21464,2.06392098397316
19131,99,35609,0.278019601786065
19104,432,47666,0.906306381907439
19147,789,32544,2.42441002949852
19107,153,14676,1.04251839738348
19145,297,35539,0.835701623568474
19134,139,40569,0.3426261431142
19111,191,49417,0.386506667745917
19151,87,24577,0.353989502380274
19136,80,26660,0.300075018754689
19102,52,5848,0.889192886456908
19103,306,24283,1.26014083927027
19106,176,13791,1.2761946196795
19138,68,23757,0.286231426526918
19140,58,40242,0.144128025446051
19143,398,48096,0.827511643379907
19153,27,9659,0.279532042654519
19154,78,25910,0.301042068699344
19126,52,13881,0.374612780059074
19142,23,22012,0.104488460839542
19118,121,NA,NA
19132,52,24524,0.212037188060675
19148,435,40140,1.08370702541106
19122,147,21120,0.696022727272727
19114,96,24789,0.387268546532736
19121,202,30458,0.66320835248539
19144,266,38325,0.694063926940639
19115,97,28237,0.343520912278217
19124,79,49090,0.160928906090854
19149,75,41305,0.181576080377678
19137,26,6034,0.430891614186278
19123,198,17162,1.15371168861438
19135,55,23816,0.230937185085657
19139,156,34057,0.458055612649382
19141,59,26706,0.220924136898075
19129,149,10383,1.43503804295483
19150,75,NA,NA
19120,69,48497,0.142276841866507
19152,83,27832,0.298217878700776
19116,59,26820,0.219985085756898
19127,84,5428,1.54753131908622
19110,1,NA,NA
19105,1,NA,NA
NA,21,NA,NA
