"ZIP","userCount","adultPop","userPercentage"
19103,415,24283,1.70901453691883
19146,701,33921,2.06656643377259
19111,198,49417,0.400671833579537
19147,1115,32544,3.42613077679449
19121,139,30458,0.456366143541927
19149,118,41305,0.285679699794214
19116,81,26820,0.302013422818792
19128,491,31814,1.54334569686302
19148,661,40140,1.64673642252118
19124,109,49090,0.222041148910165
19120,95,48497,0.19588840546838
19118,192,NA,NA
19125,544,21464,2.53447633246366
19152,95,27832,0.341333716585226
19115,120,28237,0.424974324467897
19143,596,48096,1.23918829008649
19142,61,22012,0.277121570052699
19114,106,24789,0.427609020129896
19123,171,17162,0.996387367439692
19119,651,22807,2.85438681106678
19145,434,35539,1.22119361827851
19154,67,25910,0.258587417985334
19144,409,38325,1.06718851924331
19151,129,24577,0.524880986287993
19139,209,34057,0.613677070793082
19104,345,47666,0.723786346662191
19153,42,9659,0.43482762190703
19135,53,23816,0.22253946926436
19107,139,14676,0.947124557100027
19132,39,24524,0.159027891045506
19136,102,26660,0.382595648912228
19134,144,40569,0.354950824521186
19106,198,13791,1.43571894713944
NA,27,NA,NA
19140,52,40242,0.129218229710253
19130,637,27402,2.32464783592438
19131,102,35609,0.286444438203825
19122,137,21120,0.648674242424242
19129,204,10383,1.96475007223346
19138,62,23757,0.260975712421602
19109,13,0,Inf
19127,65,5428,1.19749447310243
19102,78,5848,1.33378932968536
19141,42,26706,0.157268029656257
19126,75,13881,0.540306894315971
19137,47,6034,0.778919456413656
19150,86,NA,NA
19133,31,19191,0.161534052420405
8102,1,NA,NA
19110,1,NA,NA
19112,1,0,Inf
