objectid,election_name,election_date,ward,total_votes,registered_voters_as_of,registered_voters,turnout
1328,2015 General,2015/11/03,16,1752,2015/11/03,8812,0.199
1329,2015 General,2015/11/03,17,4628,2015/11/03,16136,0.287
1330,2015 General,2015/11/03,18,2789,2015/11/03,11407,0.244
1331,2015 General,2015/11/03,19,1464,2015/11/03,10230,0.143
1332,2015 General,2015/11/03,20,1206,2015/11/03,7823,0.154
1333,2015 General,2015/11/03,21,8828,2015/11/03,29932,0.295
1334,2015 General,2015/11/03,22,6881,2015/11/03,17063,0.403
1335,2015 General,2015/11/03,23,2732,2015/11/03,14405,0.19
1336,2015 General,2015/11/03,24,2001,2015/11/03,10672,0.188
1337,2015 General,2015/11/03,25,1994,2015/11/03,11877,0.168
1338,2015 General,2015/11/03,26,4157,2015/11/03,11997,0.347
1339,2015 General,2015/11/03,27,2007,2015/11/03,19034,0.105
1340,2015 General,2015/11/03,28,2049,2015/11/03,8838,0.232
1341,2015 General,2015/11/03,29,1931,2015/11/03,7902,0.244
1342,2015 General,2015/11/03,30,3689,2015/11/03,13260,0.278
1343,2015 General,2015/11/03,31,2673,2015/11/03,10272,0.26
1344,2015 General,2015/11/03,32,3017,2015/11/03,14808,0.204
1345,2015 General,2015/11/03,33,1553,2015/11/03,13743,0.113
1346,2015 General,2015/11/03,34,7577,2015/11/03,25038,0.303
1347,2015 General,2015/11/03,35,3949,2015/11/03,17903,0.221
1348,2015 General,2015/11/03,36,5389,2015/11/03,20534,0.262
1349,2015 General,2015/11/03,37,1927,2015/11/03,10546,0.183
1350,2015 General,2015/11/03,38,3557,2015/11/03,12452,0.286
1351,2015 General,2015/11/03,39,8477,2015/11/03,24363,0.348
1352,2015 General,2015/11/03,40,6223,2015/11/03,27943,0.223
1353,2015 General,2015/11/03,41,2488,2015/11/03,12357,0.201
1354,2015 General,2015/11/03,42,2813,2015/11/03,16924,0.166
1355,2015 General,2015/11/03,43,2125,2015/11/03,14428,0.147
1356,2015 General,2015/11/03,44,2419,2015/11/03,9720,0.249
1357,2015 General,2015/11/03,45,2907,2015/11/03,13809,0.211
1358,2015 General,2015/11/03,46,4659,2015/11/03,15217,0.306
1359,2015 General,2015/11/03,47,1034,2015/11/03,6539,0.158
1360,2015 General,2015/11/03,48,2833,2015/11/03,12276,0.231
1361,2015 General,2015/11/03,49,4157,2015/11/03,16751,0.248
1362,2015 General,2015/11/03,50,7367,2015/11/03,19341,0.381
1363,2015 General,2015/11/03,51,3675,2015/11/03,14931,0.246
1364,2015 General,2015/11/03,52,5694,2015/11/03,17589,0.324
1365,2015 General,2015/11/03,53,2694,2015/11/03,12248,0.22
1366,2015 General,2015/11/03,54,1637,2015/11/03,9825,0.167
1367,2015 General,2015/11/03,55,3847,2015/11/03,15326,0.251
1368,2015 General,2015/11/03,56,5853,2015/11/03,21756,0.269
1369,2015 General,2015/11/03,57,4838,2015/11/03,16186,0.299
1370,2015 General,2015/11/03,58,7700,2015/11/03,27871,0.276
1371,2015 General,2015/11/03,59,4163,2015/11/03,14971,0.278
1372,2015 General,2015/11/03,60,3357,2015/11/03,12496,0.269
1373,2015 General,2015/11/03,61,4280,2015/11/03,17408,0.246
1374,2015 General,2015/11/03,62,2725,2015/11/03,15474,0.176
1375,2015 General,2015/11/03,63,5373,2015/11/03,14834,0.362
1376,2015 General,2015/11/03,64,2858,2015/11/03,9900,0.289
1377,2015 General,2015/11/03,65,3984,2015/11/03,13858,0.287
1378,2015 General,2015/11/03,66,8282,2015/11/03,26113,0.317
