"ZIP","userCount","adultPop","userPercentage"
19141,62,26706,0.232157567587808
19122,169,21120,0.800189393939394
19121,148,30458,0.48591503053385
19104,617,47666,1.29442369823354
19146,474,33921,1.39736446449102
19102,63,5848,1.07729138166895
19134,113,40569,0.278537799797875
19111,414,49417,0.837768379302669
19130,465,27402,1.69695642653821
19120,132,48497,0.272181784440275
19148,422,40140,1.05132037867464
19114,91,24789,0.367098309734156
19147,704,32544,2.16322517207473
19142,47,22012,0.213519898237325
19109,59,0,Inf
19151,98,24577,0.398746795784677
19125,318,21464,1.4815505031681
19106,183,13791,1.32695236023494
19119,354,22807,1.55215504011926
19136,192,26660,0.720180045011253
19138,57,23757,0.239929284000505
19116,100,26820,0.372856077554064
19128,342,31814,1.07499842836487
19103,363,24283,1.49487295638924
19143,486,48096,1.01047904191617
19118,132,NA,NA
19115,155,28237,0.548925169104367
19126,46,13881,0.331388228513796
19131,103,35609,0.289252717009745
19135,66,23816,0.277124622102788
19123,161,17162,0.938119100337956
19152,161,27832,0.578470824949698
19144,238,38325,0.621004566210046
19133,43,19191,0.224063363034756
19150,76,NA,NA
19139,223,34057,0.654784625774437
19107,135,14676,0.919869174161897
19154,92,25910,0.355075260517175
NA,48,NA,NA
19140,81,40242,0.201282242433279
19137,26,6034,0.430891614186278
19145,279,35539,0.7850530403219
19132,59,24524,0.240580655684228
19149,200,41305,0.484202881007142
19153,20,9659,0.207060772336681
19124,121,49090,0.24648604603789
19127,57,5428,1.05011053795136
19129,109,10383,1.04979293075219
19110,1,NA,NA
19108,1,NA,NA
